TARİH,SAAT,CEH.3 ALT2 SET ISI_FARK
2024-11-14,22:29:00,166
2024-11-14,22:17:00,394
2024-11-14,22:30:00,152
2024-11-14,22:32:00,127
2024-11-14,22:35:06,172
2024-11-14,22:36:05,186
2024-11-14,22:37:05,197
2024-11-14,22:38:06,207
2024-11-14,22:39:06,215
2024-11-14,22:40:06,223
2024-11-14,22:41:06,230
2024-11-14,22:43:06,242
2024-11-14,22:44:06,248
2024-11-14,22:45:06,253
2024-11-14,22:47:06,262
2024-11-14,22:31:00,139
2024-11-14,22:16:00,402
2024-11-14,22:15:00,403
2024-11-14,22:48:06,266
2024-11-14,22:50:06,274
2024-11-14,22:52:06,282
2024-11-14,23:31:05,52
2024-11-14,23:30:05,55
2024-11-14,23:29:06,62
2024-11-14,23:28:06,71
2024-11-14,23:27:06,78
2024-11-14,22:53:06,285
2024-11-14,22:54:06,289
2024-11-14,22:55:06,292
2024-11-14,22:56:06,295
2024-11-14,22:57:06,298
2024-11-14,22:58:06,301
2024-11-14,22:59:06,304
2024-11-14,23:01:06,309
2024-11-14,23:02:06,312
2024-11-14,23:03:06,314
2024-11-14,23:04:06,317
2024-11-14,23:05:06,319
2024-11-14,23:09:06,328
2024-11-14,23:10:06,330
2024-11-14,23:11:06,332
2024-11-14,23:12:06,325
2024-11-14,23:13:06,308
2024-11-14,23:14:06,278
2024-11-14,23:18:06,194
2024-11-14,23:19:06,180
2024-11-14,23:20:06,165
2024-11-14,23:21:06,150
2024-11-14,23:22:06,136
2024-11-14,23:23:06,123
2024-11-14,23:24:06,110
2024-11-14,23:25:06,98
2024-11-14,23:26:06,87
2024-11-14,22:51:06,278
2024-11-14,00:38:58,721
2024-11-14,00:39:58,722
2024-11-14,00:40:57,724
2024-11-14,00:41:58,724
2024-11-14,00:42:58,726
2024-11-14,00:43:58,724
2024-11-14,00:44:57,721
2024-11-14,00:45:58,721
2024-11-14,00:46:57,722
2024-11-14,00:48:57,725
2024-11-14,00:49:57,724
2024-11-14,00:50:57,722
2024-11-14,00:37:58,723
2024-11-14,00:51:57,722
2024-11-14,00:53:57,724
2024-11-14,00:54:57,725
2024-11-14,00:55:57,723
2024-11-14,00:56:57,721
2024-11-14,00:57:57,721
2024-11-14,00:58:57,722
2024-11-14,00:59:57,725
2024-11-14,01:00:57,725
2024-11-14,01:01:57,723
2024-11-14,01:02:57,722
2024-11-14,01:05:57,727
2024-11-14,01:07:57,725
2024-11-14,00:52:57,722
2024-11-14,00:36:58,724
2024-11-14,00:35:58,721
2024-11-14,00:34:58,721
2024-11-14,00:00:58,704
2024-11-14,00:01:57,706
2024-11-14,00:03:57,708
2024-11-14,00:05:57,712
2024-11-14,00:06:57,713
2024-11-14,00:08:57,714
2024-11-14,00:09:57,717
2024-11-14,00:10:57,718
2024-11-14,00:11:57,718
2024-11-14,00:13:57,718
2024-11-14,00:14:57,721
2024-11-14,00:15:57,722
2024-11-14,00:16:57,721
2024-11-14,00:17:57,720
2024-11-14,00:18:57,720
2024-11-14,00:19:57,723
2024-11-14,00:20:57,724
2024-11-14,00:21:57,723
2024-11-14,00:22:57,722
2024-11-14,00:23:57,723
2024-11-14,00:24:57,725
2024-11-14,00:26:57,724
2024-11-14,00:28:58,719
2024-11-14,00:29:58,720
2024-11-14,00:30:58,722
2024-11-14,00:31:58,723
2024-11-14,00:33:58,720
2024-11-14,01:08:57,723
2024-11-14,01:09:57,724
2024-11-14,01:11:57,728
2024-11-14,01:12:57,727
2024-11-14,01:49:57,735
2024-11-14,01:52:57,738
2024-11-14,01:53:57,737
2024-11-14,01:54:57,736
2024-11-14,01:55:57,734
2024-11-14,01:56:57,732
2024-11-14,01:57:57,733
2024-11-14,01:58:57,736
2024-11-14,01:48:57,736
2024-11-14,01:47:57,737
2024-11-14,01:45:57,734
2024-11-14,01:13:57,719
2024-11-14,01:14:57,714
2024-11-14,01:15:57,713
2024-11-14,01:17:57,714
2024-11-14,01:18:57,713
2024-11-14,01:19:57,712
2024-11-14,01:20:57,712
2024-11-14,01:21:58,712
2024-11-14,01:22:58,714
2024-11-14,01:24:58,720
2024-11-14,01:25:57,722
2024-11-14,01:26:58,722
2024-11-14,01:27:58,722
2024-11-14,01:28:57,726
2024-11-14,01:30:58,731
2024-11-14,01:31:58,729
2024-11-14,01:33:58,728
2024-11-14,01:34:58,733
2024-11-14,01:35:58,734
2024-11-14,01:36:58,733
2024-11-14,01:38:58,730
2024-11-14,01:39:58,732
2024-11-14,01:40:57,737
2024-11-14,01:41:57,736
2024-11-14,01:42:57,735
2024-11-14,01:43:57,734
2024-11-14,01:44:57,733
2024-11-14,01:46:58,736
2024-11-14,00:04:57,710
2024-11-15,22:33:03,418
2024-11-15,22:35:03,388
2024-11-15,22:36:03,360
2024-11-15,22:37:03,333
2024-11-15,22:39:03,290
2024-11-15,22:40:03,272
2024-11-15,22:41:03,255
2024-11-15,22:42:03,238
2024-11-15,22:43:03,223
2024-11-15,22:44:03,208
2024-11-15,22:45:03,193
2024-11-15,22:46:03,179
2024-11-15,22:47:03,166
2024-11-15,22:48:02,153
2024-11-15,22:49:03,140
2024-11-15,22:50:03,128
2024-11-15,22:38:03,310
2024-11-15,22:51:03,116
2024-11-15,22:52:03,104
2024-11-15,22:55:02,75
2024-11-15,22:56:03,67
2024-11-15,22:57:03,59
2024-11-15,22:58:02,53
2024-11-18,22:51:01,65
2024-11-18,22:52:01,56
2024-11-18,22:48:01,77
2024-11-18,22:47:01,82
2024-11-18,22:46:01,87
2024-11-18,22:29:00,229
2024-11-18,22:30:00,219
2024-11-18,22:31:01,209
2024-11-18,22:32:01,200
2024-11-18,22:33:01,191
2024-11-18,22:34:01,181
2024-11-18,22:35:01,171
2024-11-18,22:36:01,161
2024-11-18,22:38:01,143
2024-11-18,22:39:01,134
2024-11-18,22:40:01,125
2024-11-18,22:41:01,117
2024-11-18,22:43:01,104
2024-11-18,22:44:01,97
2024-11-18,22:45:01,92
2024-11-18,22:37:01,152
2024-11-18,22:28:00,240
2024-11-18,22:26:00,263
2024-11-18,22:23:00,299
2024-11-18,15:03:58,54
2024-11-18,15:04:58,56
2024-11-18,15:05:58,58
2024-11-18,15:06:58,62
2024-11-18,15:09:58,69
2024-11-18,15:10:58,71
2024-11-18,15:11:58,75
2024-11-18,15:13:58,79
2024-11-18,15:14:58,82
2024-11-18,15:15:58,84
2024-11-18,15:16:58,85
2024-11-18,15:17:58,87
2024-11-18,15:18:59,89
2024-11-18,15:19:59,91
2024-11-18,15:44:58,135
2024-11-18,15:45:59,137
2024-11-18,15:48:11,139
2024-11-18,22:10:01,516
2024-11-18,22:11:00,515
2024-11-18,22:12:00,510
2024-11-18,22:13:00,492
2024-11-18,15:43:59,135
2024-11-18,22:14:00,465
2024-11-18,22:16:00,413
2024-11-18,22:17:01,392
2024-11-18,22:18:00,373
2024-11-18,22:19:00,356
2024-11-18,22:20:00,340
2024-11-18,22:21:00,326
2024-11-18,22:22:00,312
2024-11-18,22:15:00,438
2024-11-18,22:25:00,274
2024-11-18,15:42:59,135
2024-11-18,15:40:58,132
2024-11-18,15:20:59,94
2024-11-18,15:21:59,95
2024-11-18,15:23:58,99
2024-11-18,15:24:59,101
2024-11-18,15:25:58,103
2024-11-18,15:26:59,105
2024-11-18,15:27:59,106
2024-11-18,15:41:58,133
2024-11-18,15:28:59,109
2024-11-18,15:32:59,117
2024-11-18,15:33:58,119
2024-11-18,15:34:58,121
2024-11-18,15:36:59,125
2024-11-18,15:37:59,126
2024-11-18,15:38:59,128
2024-11-18,15:39:58,130
2024-11-18,15:31:59,115
2024-11-19,22:17:00,387
2024-11-19,22:18:00,370
2024-11-19,22:19:00,353
2024-11-19,22:21:00,328
2024-11-19,22:22:00,318
2024-11-19,22:23:46,309
2024-11-19,22:24:47,309
2024-11-19,22:25:47,295
2024-11-19,22:29:46,229
2024-11-19,22:31:47,203
2024-11-19,22:32:46,191
2024-11-19,22:33:47,179
2024-11-19,22:34:46,167
2024-11-19,22:35:46,157
2024-11-19,22:36:46,146
2024-11-19,22:37:47,135
2024-11-19,22:38:46,125
2024-11-19,22:40:46,106
2024-11-19,22:42:46,88
2024-11-19,22:43:47,83
2024-11-19,22:27:46,259
2024-11-19,22:44:47,76
2024-11-19,22:45:47,70
2024-11-19,22:46:47,65
2024-11-19,22:47:47,61
2024-11-19,22:48:47,58
2024-11-19,22:49:47,54
2024-11-19,22:50:47,51
2024-11-20,23:31:00,145
2024-11-20,23:32:01,133
2024-11-20,23:33:00,122
2024-11-20,23:34:00,111
2024-11-20,23:35:00,100
2024-11-20,23:36:00,90
2024-11-20,23:37:00,82
2024-11-20,23:38:00,75
